keyword,category
xi jinping,person
vladimir putin,person
donald trump,person
angela merkel,person
jeff bezos,person
pope francis,person
bill gates,person
mohammed bin salman,person
narendra modi,person
larry page,person
jerome powell,person
emmanuel macron,person
mark zuckerberg,person
theresa may,person
li keqiang,person
warren buffett,person
ali khamenei,person
mario draghi,person
jamie dimon,person
carlos slim,person
jack,person
christine lagarde,person
doug mcmillon,person
tim cook,person
elon musk,person
benjamin netanyahu,person
huateng,person
larry fink,person
akio toyoda,person
john l. flannery,person
antónio guterres,person
mukesh ambani,person
jean-claude juncker,person
darren woods,person
sergey brin,person
kim jong-un,person
charles koch,person
shinzo abe,person
rupert murdoch,person
satya nadella,person
jim yong kim,person
stephen a. schwarzman,person
khalifa bin zayed al nahyan,person
haruhiko kuroda,person
abdul fatah khalil al-sisi,person
li ka-shing,person
lloyd blankfein,person
recep tayyip erdogan,person
bob iger,person
michel temer,person
michael bloomberg,person
wang jianlin,person
mary barra,person
moon jae-in,person
masayoshi son,person
bernard arnault,person
justin trudeau,person
robin li,person
michael dell,person
hui ka yan,person
lee hsien loong,person
bashar al-assad,person
john roberts,person
enrique peña nieto,person
kenneth c. griffin,person
aliko dangote,person
mike pence,person
qamar javed bajwa,person
rodrigo duterte,person
abigail johnson,person
reed hastings,person
robert mueller,person
abu bakr al-baghdadi,person
joko widodo,person
gianni infantino,person
walmart,company
amazon,company
state grid corporation china,company
saudi aramco,company
china national petroleum corporation,company
china petrochemical corporation,company
apple,company
alphabet,company
unitedhealth group,company
berkshire hathaway,company
cvs health,company
volkswagen group,company
exxonmobil,company
vitol,company
shell,company
china state construction engineering,company
toyota,company
mckesson,company
microsoft,company
cencora,company
trafigura,company
costco,company
jpmorgan chase,company
industrial commercial bank china,company
totalenergies,company
glencore,company
nvidia,company
bp,company
cardinal health,company
stellantis,company
chevron,company
china construction bank,company
samsung electronics,company
foxconn,company
cigna,company
agricultural bank china,company
schwarz gruppe,company
china railway engineering corporation,company
cargill,company
ford motor company,company
bank china,company
bank america,company
general motors,company
elevance health,company
bmw group,company
mercedes-benz group,company
meta platforms,company
china railway construction corporation,company
baowu,company
citigroup,company
alabama,geography
alaska,geography
arizona,geography
arkansas,geography
california,geography
colorado,geography
connecticut,geography
delaware,geography
florida,geography
georgia,geography
hawaii,geography
idaho,geography
illinois,geography
indiana,geography
iowa,geography
kansas,geography
kentucky,geography
louisiana,geography
maine,geography
maryland,geography
massachusetts,geography
michigan,geography
minnesota,geography
mississippi,geography
missouri,geography
montana,geography
nebraska,geography
nevada,geography
new hampshire,geography
new jersey,geography
new mexico,geography
new york,geography
north carolina,geography
north dakota,geography
ohio,geography
oklahoma,geography
oregon,geography
pennsylvania,geography
rhode island,geography
south carolina,geography
south dakota,geography
tennessee,geography
texas,geography
utah,geography
vermont,geography
virginia,geography
washington,geography
west virginia,geography
wisconsin,geography
wyoming,geography
al,geography
ak,geography
az,geography
ar,geography
ca,geography
co,geography
ct,geography
de,geography
fl,geography
ga,geography
hi,geography
id,geography
il,geography
ia,geography
ks,geography
ky,geography
la,geography
md,geography
mi,geography
mn,geography
ms,geography
mo,geography
mt,geography
ne,geography
nv,geography
nh,geography
nj,geography
nm,geography
ny,geography
nc,geography
nd,geography
oh,geography
ok,geography
pa,geography
ri,geography
sc,geography
sd,geography
tn,geography
tx,geography
ut,geography
vt,geography
va,geography
wa,geography
wv,geography
wi,geography
wy,geography
montgomery,geography
juneau,geography
phoenix,geography
little rock,geography
sacramento,geography
denver,geography
hartford,geography
dover,geography
tallahassee,geography
atlanta,geography
honolulu,geography
boise,geography
springfield,geography
indianapolis,geography
des moines,geography
topeka,geography
frankfort,geography
baton rouge,geography
augusta,geography
annapolis,geography
boston,geography
lansing,geography
saint paul,geography
jackson,geography
jefferson city,geography
helena,geography
